iata_code,iso_region,municipality,name,iso_country
FUJ,JP-42,Goto,Fukue Airport,JP
FUK,JP-40,Fukuoka,Fukuoka Airport,JP
TNE,JP-46,Tanegashima,New Tanegashima Airport,JP
KOJ,JP-46,Kagoshima,Kagoshima Airport,JP
KMI,JP-45,Miyazaki,Miyazaki Airport,JP
OIT,JP-44,Oita,Oita Airport,JP
KKJ,JP-40,Kitakyūshū,Kitakyūshū Airport,JP
HSG,JP-41,Saga,Saga Airport,JP
KMJ,JP-43,Kumamoto,Kumamoto Airport,JP
NGS,JP-42,Nagasaki,Nagasaki Airport,JP
NGO,JP-23,Tokoname,Chubu Centrair International Airport,JP
ASJ,JP-46,Amami,Amami Airport,JP
OKE,JP-46,Okinoerabujima,Okierabu Airport,JP
KKX,JP-46,Kikai,Kikai Airport,JP
TKN,JP-46,Tokunoshima,Tokunoshima Airport,JP
NKM,JP-23,Nagoya,Nagoya Airport,JP
KMQ,JP-17,Kanazawa,Komatsu Airport,JP
OKI,JP-32,Okinoshima,Oki Airport,JP
FSZ,JP-22,Makinohara / Shimada,Mt. Fuji Shizuoka Airport,JP
TOY,JP-16,Toyama,Toyama Airport,JP
NTQ,JP-17,Wajima,Noto Airport,JP
HIJ,JP-34,Hiroshima,Hiroshima Airport,JP
OKJ,JP-33,Okayama City,Okayama Airport,JP
IZO,JP-32,Izumo,Izumo Airport,JP
YGJ,JP-32,Yonago,Miho Yonago Airport,JP
IWK,JP-35,Iwakuni,Iwakuni Marine Corps Air Station,JP
KCZ,JP-39,Nankoku,Kōchi Ryōma Airport,JP
MYJ,JP-38,Matsuyama,Matsuyama Airport,JP
ITM,JP-27,Osaka,Osaka International Airport,JP
TTJ,JP-31,Tottori,Tottori Airport,JP
TKS,JP-36,Tokushima,Tokushima Airport,JP
TAK,JP-37,Takamatsu,Takamatsu Airport,JP
IWJ,JP-32,Masuda,Iwami Airport,JP
AOJ,JP-02,Aomori,Aomori Airport,JP
GAJ,JP-06,Yamagata,Yamagata Airport,JP
SDS,JP-15,Sado,Sado Airport,JP
FKS,JP-07,Sukagawa,Fukushima Airport,JP
HNA,JP-03,,Hanamaki Airport,JP
AXT,JP-05,Akita,Akita Airport,JP
MSJ,JP-02,Misawa,Misawa Air Base,JP
KIJ,JP-15,Niigata,Niigata Airport,JP
ONJ,JP-05,Odate,Odate Noshiro Airport,JP
SDJ,JP-04,Sendai,Sendai Airport,JP
SYO,JP-06,Shonai,Shonai Airport,JP
,JP-13,Tokyo,Chofu Airport,JP
HAC,JP-13,Hachijojima,Hachijojima Airport,JP
OIM,JP-13,Izu Oshima,Oshima Airport,JP
MYE,JP-13,Miyakejima,Miyakejima Airport,JP
HND,JP-13,Tokyo,Tokyo Haneda International Airport,JP
OKO,JP-13,Fussa,Yokota Air Base,JP
MWX,KR-46,Muan,Muan International Airport,KR
KWJ,KR-29,Gwangju,Gwangju Airport,KR
KUV,KR-45,Kunsan,Kunsan Air Base,KR
RSU,KR-46,Yeosu,Yeosu Airport,KR
WJU,KR-42,Wonju,Wonju Airport,KR
YNY,KR-42,Sokcho / Gangneung,Yangyang International Airport,KR
CJU,KR-49,Jeju City,Jeju International Airport,KR
PUS,KR-26,Busan,Gimhae International Airport,KR
HIN,KR-48,Sacheon,Sacheon Air Base,KR
USN,KR-31,Ulsan,Ulsan Airport,KR
ICN,KR-28,Seoul,Incheon International Airport,KR
OSN,KR-41,,Osan Air Base,KR
GMP,KR-11,Seoul,Gimpo International Airport,KR
KPO,KR-47,Pohang,Pohang Airport,KR
TAE,KR-27,Daegu,Daegu Airport,KR
CJJ,KR-43,Cheongju,Cheongju International Airport,KR
OKA,JP-47,Naha,Naha Airport,JP
DNA,JP-47,,Kadena Air Base,JP
ISG,JP-47,Ishigaki,Ishigaki Airport,JP
UEO,JP-47,,Kumejima Airport,JP
MMD,JP-47,Minamidaitō,Minami-Daito Airport,JP
MMY,JP-47,Miyako City,Miyako Airport,JP
KTD,JP-47,Kitadaitōjima,Kitadaito Airport,JP
TRA,JP-47,Tarama,Tarama Airport,JP
RNJ,JP-46,Yoronjima,Yoron Airport,JP
OGN,JP-47,,Yonaguni Airport,JP
SFS,PH-ZMB,Olongapo City,Subic Bay International Airport,PH
CRK,PH-PAM,Angeles City,Clark International Airport,PH
LAO,PH-ILN,Laoag City,Laoag International Airport,PH
MNL,PH-U-A,Manila,Ninoy Aquino International Airport,PH
LGP,PH-ALB,Legazpi City,Legazpi City International Airport,PH
CBO,PH-MAG,Cotabato City,Awang Airport,PH
DVO,PH-DAV,Davao City,Francisco Bangoy International Airport,PH
BXU,PH-AGN,Butuan City,Bancasi Airport,PH
DPL,PH-ZAN,Dipolog City,Dipolog Airport,PH
CGM,PH-CAM,,Camiguin Airport,PH
JOL,PH-SLU,,Jolo Airport,PH
SGS,PH-TAW,,Sanga Sanga Airport,PH
PAG,PH-ZAS,Pagadian City,Pagadian Airport,PH
GES,PH-SCO,General Santos,General Santos International Airport,PH
SUG,PH-SUN,Surigao City,Surigao Airport,PH
TDG,PH-SUR,,Tandag Airport,PH
ZAM,PH-ZAS,Zamboanga City,Zamboanga International Airport,PH
BAG,PH-BEN,Baguio City,Loakan Airport,PH
SJI,PH-MDC,San Jose,San Jose Airport,PH
WNP,PH-CAS,Naga,Naga Airport,PH
BSO,PH-CAG,Basco,Basco Airport,PH
BQA,PH-AUR,Baler,Dr.Juan C. Angara Airport,PH
SFE,PH-LUN,,San Fernando Airport,PH
TUG,PH-CAG,Tuguegarao City,Tuguegarao Airport,PH
VRC,PH-CAT,Virac,Virac Airport,PH
CYZ,PH-ISA,Cauayan City,Cauayan Airport,PH
TAC,PH-LEY,Tacloban City,Daniel Z. Romualdez Airport,PH
BCD,PH-NEC,Bacolod City,Bacolod-Silay City International Airport,PH
CYP,PH-WSA,Calbayog City,Calbayog Airport,PH
DGT,PH-NER,Dumaguete City,Sibulan Airport,PH
MPH,PH-AKL,Malay,Godofredo P. Ramos Airport,PH
CRM,PH-NSA,Catarman,Catarman National Airport,PH
ILO,PH-ILI,Iloilo City,Iloilo International Airport,PH
MBT,PH-MAS,Masbate,Moises R. Espinosa Airport,PH
KLO,PH-AKL,Kalibo,Kalibo International Airport,PH
CEB,PH-CEB,Lapu-Lapu City,Mactan Cebu International Airport,PH
PPS,PH-PLW,Puerto Princesa City,Puerto Princesa Airport,PH
RXS,PH-CAP,Roxas City,Roxas Airport,PH
TAG,PH-BOH,Tagbilaran City,Tagbilaran Airport,PH
TBH,PH-ROM,Tablas Island,Tugdan Airport,PH
USU,PH-PLW,Coron,Francisco B. Reyes Airport,PH
,RU-LIP,Lipetsk,Lipetsk Air Base,RU
GRV,RU-CE,Grozny,Grozny North Airport,RU
,RU-YAN,Yamburg,Yamburg Airport,RU
,RU-KR,Kostomuksha,Kostomuksha Airport,RU
,RU-AMU,Belogorsk,Ukrainka Air Base,RU
,RU-MUR,Olenegorsk,Olenya Air Base,RU
PRA,AR-E,Parana,General Urquiza Airport,AR
ROS,AR-S,Rosario,Islas Malvinas Airport,AR
SFN,AR-S,Santa Fe,Sauce Viejo Airport,AR
AEP,AR-C,Buenos Aires,Jorge Newbery Airpark,AR
COR,AR-X,Cordoba,Ingeniero Ambrosio Taravella Airport,AR
EZE,AR-B,Buenos Aires,Ministro Pistarini International Airport,AR
MDZ,AR-M,Mendoza,El Plumerillo Airport,AR
AFA,AR-M,San Rafael,Suboficial Ay Santiago Germano Airport,AR
CTC,AR-K,Catamarca,Catamarca Airport,AR
SDE,AR-G,Santiago del Estero,Vicecomodoro Angel D. La Paz Aragonés Airport,AR
IRJ,AR-F,La Rioja,Capitan V A Almonacid Airport,AR
RHD,AR-G,Termas de Río Hondo,Termas de Río Hondo international Airport,AR
TUC,AR-T,San Miguel de Tucumán,Teniente Benjamin Matienzo Airport,AR
UAQ,AR-J,San Juan,Domingo Faustino Sarmiento Airport,AR
LUQ,AR-D,San Luis,Brigadier Mayor D Cesar Raul Ojeda Airport,AR
,AR-X,Villa Maria,Presidente Néstor Kirchner Regionsl Airport,AR
CNQ,AR-W,Corrientes,Corrientes Airport,AR
RES,AR-H,Resistencia,Resistencia International Airport,AR
FMA,AR-P,Formosa,Formosa Airport,AR
IGR,AR-N,Puerto Iguazu,Cataratas Del Iguazú International Airport,AR
PSS,AR-N,Posadas,Libertador Gral D Jose De San Martin Airport,AR
SLA,AR-A,Salta,Martin Miguel De Guemes International Airport,AR
JUJ,AR-Y,San Salvador de Jujuy,Gobernador Horacio Guzman International Airport,AR
TTG,AR-A,Tartagal,General Enrique Mosconi Airport,AR
CRD,AR-U,Comodoro Rivadavia,General E. Mosconi Airport,AR
EQS,AR-U,Esquel,Brigadier Antonio Parodi Airport,AR
LHS,AR-Z,Las Heras,Las Heras Airport,AR
REL,AR-U,Rawson,Almirante Marco Andres Zar Airport,AR
VDM,AR-R,Viedma / Carmen de Patagones,Gobernador Castello Airport,AR
PMY,AR-U,Puerto Madryn,El Tehuelche Airport,AR
FTE,AR-Z,El Calafate,El Calafate Airport,AR
PUD,AR-Z,Puerto Deseado,Puerto Deseado Airport,AR
RGL,AR-Z,Rio Gallegos,Piloto Civil N. Fernández Airport,AR
USH,AR-V,Ushuahia,Malvinas Argentinas Airport,AR
ULA,AR-Z,San Julian,Capitan D Daniel Vazquez Airport,AR
PMQ,AR-Z,Perito Moreno,Perito Moreno Airport,AR
RZA,AR-Z,Santa Cruz,Santa Cruz Airport,AR
BHI,AR-B,Bahia Blanca,Comandante Espora Airport,AR
SST,AR-B,Santa Teresita,Santa Teresita Airport,AR
MDQ,AR-B,Mar del Plata,Ástor Piazzola International Airport,AR
NQN,AR-Q,Neuquen,Presidente Peron Airport,AR
NEC,AR-B,Necochea,Necochea Airport,AR
RSA,AR-L,Santa Rosa,Santa Rosa Airport,AR
BRC,AR-R,San Carlos de Bariloche,San Carlos De Bariloche Airport,AR
CPC,AR-Q,Chapelco/San Martin de los Andes,Aviador C. Campos Airport,AR
AQA,BR-SP,Araraquara,Araraquara Airport,BR
AJU,BR-SE,Aracaju,Santa Maria Airport,BR
AFL,BR-MT,Alta Floresta,Piloto Osvaldo Marques Dias Airport,BR
ARU,BR-SP,Araçatuba,Araçatuba Airport,BR
BEL,BR-PA,Belém,Val de Cans/Júlio Cezar Ribeiro International Airport,BR
PLU,BR-MG,Belo Horizonte,Pampulha - Carlos Drummond de Andrade Airport,BR
BSB,BR-DF,Brasília,Presidente Juscelino Kubistschek International Airport,BR
BAU,BR-SP,Bauru,Bauru Airport,BR
BVB,BR-RR,Boa Vista,Atlas Brasil Cantanhede Airport,BR
CAC,BR-PR,Cascavel,Cascavel Airport,BR
CNF,BR-MG,Belo Horizonte,Tancredo Neves International Airport,BR
CGR,BR-MS,Campo Grande,Campo Grande Airport,BR
XAP,BR-SC,Chapecó,Serafin Enoss Bertaso Airport,BR
CKS,BR-PA,Parauapebas,Carajás Airport,BR
CCM,BR-SC,Criciúma,Diomício Freitas Airport,BR
CAW,BR-RJ,Campos Dos Goytacazes,Bartolomeu Lisandro Airport,BR
CMG,BR-MS,Corumbá,Corumbá International Airport,BR
CWB,BR-PR,Curitiba,Afonso Pena Airport,BR
CXJ,BR-RS,Caxias Do Sul,Hugo Cantergiani Regional Airport,BR
CGB,BR-MT,Cuiabá,Marechal Rondon Airport,BR
CZS,BR-AC,Cruzeiro Do Sul,Cruzeiro do Sul Airport,BR
PPB,BR-SP,Presidente Prudente,Presidente Prudente Airport,BR
MAO,BR-AM,Manaus,Eduardo Gomes International Airport,BR
IGU,BR-PR,Foz Do Iguaçu,Cataratas International Airport,BR
FLN,BR-SC,Florianópolis,Hercílio Luz International Airport,BR
FEN,BR-PE,Fernando De Noronha,Fernando de Noronha Airport,BR
FOR,BR-CE,Fortaleza,Pinto Martins International Airport,BR
GIG,BR-RJ,Rio De Janeiro,Rio Galeão – Tom Jobim International Airport,BR
GYN,BR-GO,Goiânia,Santa Genoveva Airport,BR
GRU,BR-SP,São Paulo,Guarulhos - Governador André Franco Montoro International Airport,BR
ATM,BR-PA,Altamira,Altamira Airport,BR
ITB,BR-PA,Itaituba,Itaituba Airport,BR
IOS,BR-BA,Ilhéus,Bahia - Jorge Amado Airport,BR
IPN,BR-MG,Ipatinga,Usiminas Airport,BR
IMP,BR-MA,Imperatriz,Prefeito Renato Moreira Airport,BR
JDF,BR-MG,Juiz De Fora,Francisco de Assis Airport,BR
JPA,BR-PB,João Pessoa,Presidente Castro Pinto International Airport,BR
JOI,BR-SC,Joinville,Lauro Carneiro de Loyola Airport,BR
CPV,BR-PB,Campina Grande,Presidente João Suassuna Airport,BR
VCP,BR-SP,Campinas,Viracopos International Airport,BR
LDB,BR-PR,Londrina,Governador José Richa Airport,BR
MAB,BR-PA,Marabá,João Correa da Rocha Airport,BR
MEU,BR-PA,Almeirim,Monte Dourado Airport,BR
MEA,BR-RJ,Macaé,Macaé Airport,BR
MGF,BR-PR,Maringá,Regional de Maringá - Sílvio Nane Junior Airport,BR
MOC,BR-MG,Montes Claros,Mário Ribeiro Airport,BR
MII,BR-SP,Marília,Frank Miloye Milenkowichi–Marília State Airport,BR
MCZ,BR-AL,Maceió,Zumbi dos Palmares Airport,BR
MCP,BR-AP,Macapá,Alberto Alcolumbre Airport,BR
MNX,BR-AM,Manicoré,Manicoré Airport,BR
NVT,BR-SC,Navegantes,Ministro Victor Konder International Airport,BR
GEL,BR-RS,Santo Ângelo,Santo Ângelo Airport,BR
POA,BR-RS,Porto Alegre,Salgado Filho Airport,BR
PFB,BR-RS,Passo Fundo,Lauro Kurtz Airport,BR
PMW,BR-TO,Palmas,Brigadeiro Lysias Rodrigues Airport,BR
PET,BR-RS,Pelotas,João Simões Lopes Neto International Airport,BR
PNZ,BR-PE,Petrolina,Senador Nilo Coelho Airport,BR
PMG,BR-MS,Ponta Porã,Ponta Porã Airport,BR
BPS,BR-BA,Porto Seguro,Porto Seguro Airport,BR
PVH,BR-RO,Porto Velho,Governador Jorge Teixeira de Oliveira Airport,BR
VDC,BR-BA,Vitória Da Conquista,Vitória da Conquista Airport,BR
RBR,BR-AC,Rio Branco,Plácido de Castro Airport,BR
REC,BR-PE,Recife,Guararapes - Gilberto Freyre International Airport,BR
SDU,BR-RJ,Rio De Janeiro,Santos Dumont Airport,BR
RAO,BR-SP,Ribeirão Preto,Leite Lopes Airport,BR
NAT,BR-RN,Natal,Governador Aluízio Alves International Airport,BR
SJK,BR-SP,São José Dos Campos,Professor Urbano Ernesto Stumpf Airport,BR
SLZ,BR-MA,São Luís,Marechal Cunha Machado International Airport,BR
RIA,BR-RS,Santa Maria,Santa Maria Airport,BR
STM,BR-PA,Santarém,Maestro Wilson Fonseca Airport,BR
CGH,BR-SP,São Paulo,Congonhas Airport,BR
SJP,BR-SP,São José Do Rio Preto,Prof. Eribelto Manoel Reino State Airport,BR
SSA,BR-BA,Salvador,Deputado Luiz Eduardo Magalhães International Airport,BR
TMT,BR-PA,Oriximiná,Trombetas Airport,BR
THE,BR-PI,Teresina,Senador Petrônio Portela Airport,BR
TFF,BR-AM,Tefé,Tefé Airport,BR
TBT,BR-AM,Tabatinga,Tabatinga Airport,BR
TUR,BR-PA,Tucuruí,Tucuruí Airport,BR
SJL,BR-AM,São Gabriel Da Cachoeira,São Gabriel da Cachoeira Airport,BR
PAV,BR-BA,Paulo Afonso,Paulo Afonso Airport,BR
URG,BR-RS,Uruguaiana,Rubem Berta Airport,BR
UDI,BR-MG,Uberlândia,Ten. Cel. Aviador César Bombonato Airport,BR
UBA,BR-MG,Uberaba,Mário de Almeida Franco Airport,BR
BVH,BR-RO,Vilhena,Brigadeiro Camarão Airport,BR
VIX,BR-ES,Vitória,Eurico de Aguiar Salles Airport,BR
IZA,BR-MG,Juiz de Fora,Presidente Itamar Franco Airport,BR
ARI,CL-AP,Arica,Chacalluta Airport,CL
CPO,CL-AT,Copiapo,Desierto de Atacama Airport,CL
BBA,CL-AI,Balmaceda,Balmaceda Airport,CL
CJC,CL-AN,Calama,El Loa Airport,CL
PUQ,CL-MA,Punta Arenas,Pdte. carlos Ibañez del Campo Airport,CL
IQQ,CL-TA,Iquique,Diego Aracena Airport,CL
SCL,CL-RM,Santiago,Comodoro Arturo Merino Benítez International Airport,CL
ESR,CL-AT,El Salvador,Ricardo García Posada Airport,CL
ANF,CL-AN,Antofagasta,Cerro Moreno Airport,CL
CCP,CL-BI,Concepcion,Carriel Sur Airport,CL
IPC,CL-VS,Isla De Pascua,Mataveri Airport,CL
ZOS,CL-LL,Osorno,Cañal Bajo Carlos - Hott Siebert Airport,CL
ZCO,CL-AR,Temuco,La Araucanía Airport,CL
LSC,CL-CO,La Serena-Coquimbo,La Florida Airport,CL
PMC,CL-LL,Puerto Montt,El Tepual Airport,CL
ZAL,CL-LR,Valdivia,Pichoy Airport,CL
IZA,BR-MG,Juiz De Fora,Zona da Mata Regional Airport,BR
OCC,EC-D,Coca,Francisco De Orellana Airport,EC
CUE,EC-A,Cuenca,Mariscal Lamar Airport,EC
GYE,EC-G,Guayaquil,José Joaquín de Olmedo International Airport,EC
LTX,EC-X,Latacunga,Cotopaxi International Airport,EC
XMS,EC-S,Macas,Coronel E Carvajal Airport,EC
MEC,EC-M,Manta,Eloy Alfaro International Airport,EC
UIO,EC-P,Quito,Mariscal Sucre International Airport,EC
ETR,EC-O,Santa Rosa,Santa Rosa International Airport,EC
TUA,EC-C,Tulcán,Teniente Coronel Luis a Mantilla Airport,EC
PSY,FK-U-A,Stanley,Port Stanley Airport,FK
ASU,PY-11,Asunción,Silvio Pettirossi International Airport,PY
AGT,PY-10,Ciudad del Este,Guarani International Airport,PY
JTC,BR-SP,Bauru,Bauru - Arealva Airport,BR
AXM,CO-QUI,Armenia,El Eden Airport,CO
PUU,CO-PUT,Puerto Asís,Tres De Mayo Airport,CO
BGA,CO-SAN,Bucaramanga,Palonegro Airport,CO
BOG,CO-CUN,Bogota,El Dorado International Airport,CO
BAQ,CO-ATL,Barranquilla,Ernesto Cortissoz International Airport,CO
BSC,CO-CHO,Bahía Solano,José Celestino Mutis Airport,CO
BUN,CO-VAC,Buenaventura,Gerardo Tobar López Airport,CO
CUC,CO-NSA,Cúcuta,Camilo Daza International Airport,CO
CTG,CO-BOL,Cartagena,Rafael Nuñez International Airport,CO
CLO,CO-VAC,Cali,Alfonso Bonilla Aragon International Airport,CO
TCO,CO-NAR,Tumaco,La Florida Airport,CO
CZU,CO-SUC,Corozal,Las Brujas Airport,CO
EJA,CO-SAN,Barrancabermeja,Yariguíes Airport,CO
FLA,CO-CAQ,Florencia,Gustavo Artunduaga Paredes Airport,CO
CRC,CO-VAC,Cartago,Santa Ana Airport,CO
GPI,CO-CAU,Guapi,Juan Casiano Airport,CO
IBE,CO-TOL,Ibagué,Perales Airport,CO
IPI,CO-NAR,Ipiales,San Luis Airport,CO
APO,CO-ANT,Carepa,Antonio Roldan Betancourt Airport,CO
LET,CO-AMA,Leticia,Alfredo Vásquez Cobo International Airport,CO
EOH,CO-ANT,Medellín,Enrique Olaya Herrera Airport,CO
MTR,CO-COR,Montería,Los Garzones Airport,CO
MVP,CO-VAU,Mitú,Fabio Alberto Leon Bentley Airport,CO
MZL,CO-CAL,Manizales,La Nubia Airport,CO
NVA,CO-HUI,Neiva,Benito Salas Airport,CO
PCR,CO-VID,Puerto Carreño,German Olano Airport,CO
PDA,CO-GUA,Puerto Inírida,Obando Airport,CO
PEI,CO-RIS,Pereira,Matecaña International Airport,CO
PPN,CO-CAU,Popayán,Guillermo León Valencia Airport,CO
PSO,CO-NAR,Pasto,Antonio Narino Airport,CO
PVA,CO-SAP,Providencia,El Embrujo Airport,CO
MDE,CO-ANT,Rionegro,Jose Maria Córdova International Airport,CO
RCH,CO-LAG,Riohacha,Almirante Padilla Airport,CO
SJE,CO-GUV,San José Del Guaviare,Jorge E. Gonzalez Torres Airport,CO
SMR,CO-MAG,Santa Marta,Simón Bolívar International Airport,CO
ADZ,CO-SAP,San Andrés,Gustavo Rojas Pinilla International Airport,CO
SVI,CO-CAQ,San Vicente Del Caguán,Eduardo Falla Solano Airport,CO
TME,CO-ARA,Tame,Gustavo Vargas Airport,CO
AUC,CO-ARA,Arauca,Santiago Perez Airport,CO
UIB,CO-CHO,Quibdó,El Caraño Airport,CO
VUP,CO-CES,Valledupar,Alfonso López Pumarejo Airport,CO
VVC,CO-MET,Villavicencio,Vanguardia Airport,CO
EYP,CO-CAS,El Yopal,El Yopal Airport,CO
CBB,BO-C,Cochabamba,Jorge Wilsterman International Airport,BO
CIJ,BO-N,Cobija,Capitán Aníbal Arab Airport,BO
SRZ,BO-S,Santa Cruz,El Trompillo Airport,BO
LPB,BO-L,La Paz / El Alto,El Alto International Airport,BO
SRE,BO-H,Sucre,Juana Azurduy De Padilla Airport,BO
TJA,BO-T,Tarija,Capitan Oriel Lea Plaza Airport,BO
VVI,BO-S,Santa Cruz,Viru Viru International Airport,BO
PBM,SR-PR,Zandery,Johan Adolf Pengel International Airport,SR
,SO-SH,Mogadishu,K50 International Airport,SO
CAY,GF-CY,Cayenne / Rochambeau,Cayenne-Rochambeau Airport,GF
PCL,PE-UCA,Pucallpa,Cap FAP David Abenzur Rengifo International Airport,PE
CHM,PE-ANC,Chimbote,Teniente FAP Jaime A De Montreuil Morales Airport,PE
CIX,PE-LAM,Chiclayo,Capitan FAP Jose A Quinones Gonzales International Airport,PE
AYP,PE-AYA,Ayacucho,Coronel FAP Alfredo Mendivil Duarte Airport,PE
LIM,PE-LIM,Lima,Jorge Chávez International Airport,PE
JAE,PE-CAJ,Jaén,Shumba Airport,PE
JAU,PE-JUN,Jauja,Francisco Carle Airport,PE
JUL,PE-PUN,Juliaca,Inca Manco Capac International Airport,PE
CJA,PE-CAJ,Cajamarca,Mayor General FAP Armando Revoredo Iglesias Airport,PE
TBP,PE-TUM,Tumbes,Capitan FAP Pedro Canga Rodriguez Airport,PE
YMS,PE-LOR,Yurimaguas,Moises Benzaquen Rengifo Airport,PE
HUU,PE-HUC,Huánuco,Alferez Fap David Figueroa Fernandini Airport,PE
IQT,PE-LOR,Iquitos,Coronel FAP Francisco Secada Vignetta International Airport,PE
AQP,PE-ARE,Arequipa,Rodríguez Ballón International Airport,PE
TRU,PE-LAL,Trujillo,Capitan FAP Carlos Martinez De Pinillos International Airport,PE
TPP,PE-SAM,Tarapoto,Cadete FAP Guillermo Del Castillo Paredes Airport,PE
TCQ,PE-TAC,Tacna,Coronel FAP Carlos Ciriani Santa Rosa International Airport,PE
PEM,PE-MDD,Puerto Maldonado,Padre Aldamiz International Airport,PE
PIU,PE-PIU,Piura,Capitán FAP Guillermo Concha Iberico International Airport,PE
TYL,PE-PIU,Talara,Capitan Montes Airport,PE
NZC,PE-ICA,Nazca,Maria Reiche Neuman Airport,PE
CUZ,PE-CUS,Cusco,Alejandro Velasco Astete International Airport,PE
SQJ,CN-35,Sanming,Shaxian Airport,CN
MVD,UY-MO,Montevideo,Carrasco International /General C L Berisso Airport,UY
AGV,VE-P,Acarigua,Oswaldo Guevara Mujica Airport,VE
BLA,VE-B,Barcelona,General Jose Antonio Anzoategui International Airport,VE
BNS,VE-E,Barinas,Barinas Airport,VE
BRM,VE-K,Barquisimeto,Barquisimeto International Airport,VE
MYC,VE-D,Maracay,Escuela Mariscal Sucre Airport,VE
CAJ,VE-F,Canaima,Canaima Airport,VE
CUP,VE-R,Carúpano,General Francisco Bermúdez Airport,VE
CZE,VE-I,Coro,José Leonardo Chirinos Airport,VE
CUM,VE-R,,Cumaná (Antonio José de Sucre) Airport,VE
LSP,VE-I,Paraguaná,Josefa Camejo International Airport,VE
MAR,VE-V,Maracaibo,La Chinita International Airport,VE
MRD,VE-L,Mérida,Alberto Carnevalli Airport,VE
PMV,VE-O,Isla Margarita,Del Caribe Santiago Mariño International Airport,VE
CCS,VE-X,Caracas,Simón Bolívar International Airport,VE
MUN,VE-N,,Maturín Airport,VE
PYH,VE-Z,Puerto Ayacucho,Cacique Aramare Airport,VE
PZO,VE-F,Puerto Ordaz-Ciudad Guayana,General Manuel Carlos Piar International Airport,VE
SVZ,VE-S,,San Antonio Del Tachira Airport,VE
STD,VE-S,Santo Domingo,Mayor Buenaventura Vivas International Airport,VE
SOM,VE-B,El Tigre,San Tomé Airport,VE
VLN,VE-G,Valencia,Arturo Michelena International Airport,VE
VIG,VE-L,El Vigía,Juan Pablo Pérez Alfonso Airport,VE
VLV,VE-T,Valera,Dr. Antonio Nicolás Briceño Airport,VE
GEO,GY-DE,Georgetown,Cheddi Jagan International Airport,GY
OGL,GY-DE,Ogle,Ogle Airport,GY
LTM,GY-UT,Lethem,Lethem Airport,GY
ANU,AG-03,St. George,V.C. Bird International Airport,AG
BGI,BB-01,Bridgetown,Sir Grantley Adams International Airport,BB
DCF,DM-10,Canefield,Canefield Airport,DM
DOM,DM-02,Marigot,Melville Hall Airport,DM
FDF,MQ-U-A,Fort-de-France,Martinique Aimé Césaire International Airport,MQ
SFG,MF-U-A,Grand Case,L'Espérance Airport,MF
SBH,BL-U-A,Gustavia,Gustaf III Airport,BL
GBJ,GP-U-A,Grand Bourg,Les Bases Airport,GP
PTP,GP-U-A,Pointe-à-Pitre Le Raizet,Pointe-à-Pitre Le Raizet,GP
GND,GD-GE,Saint George's,Point Salines International Airport,GD
STT,VI-U-A,"Charlotte Amalie, Harry S. Truman Airport",Cyril E. King Airport,VI
STX,VI-U-A,Christiansted,Henry E Rohlsen Airport,VI
BQN,PR-U-A,Aguadilla,Rafael Hernandez Airport,PR
SIG,PR-U-A,San Juan,Fernando Luis Ribas Dominicci Airport,PR
MAZ,PR-U-A,Mayaguez,Eugenio Maria De Hostos Airport,PR
PSE,PR-U-A,Ponce,Mercedita Airport,PR
SJU,PR-U-A,San Juan,Luis Munoz Marin International Airport,PR
SKB,KN-U-A,Basseterre,Robert L. Bradshaw International Airport,KN
NEV,KN-U-A,Charlestown,Vance W. Amory International Airport,KN
SLU,LC-02,Castries,George F. L. Charles Airport,LC
UVF,LC-11,Vieux Fort,Hewanorra International Airport,LC
NBE,TN-51,Enfidha,Enfidha - Hammamet International Airport,TN
AUA,AW-U-A,Oranjestad,Queen Beatrix International Airport,AW
BON,BQ-U-A,Kralendijk,Flamingo International Airport,BQ
CUR,CW-U-A,Willemstad,Hato International Airport,CW
EUX,BQ-U-A,Sint Eustatius,F. D. Roosevelt Airport,BQ
SXM,SX-U-A,Saint Martin,Princess Juliana International Airport,SX
AXA,AI-U-A,The Valley,Wallblake Airport,AI
IGD,TR-76,Iğdır,Iğdır Airport,TR
MNI,MS-U-A,Gerald's Park,John A. Osborne Airport,MS
TAB,TT-WTO,Scarborough,Tobago-Crown Point Airport,TT
POS,TT-TUP,Port of Spain,Piarco International Airport,TT
EIS,VG-U-A,Road Town,Terrance B. Lettsome International Airport,VG
BQU,VC-06,Bequia,J F Mitchell Airport,VC
CIW,VC-06,Canouan,Canouan Airport,VC
MQS,VC-06,Mustique Island,Mustique Airport,VC
UNI,VC-06,Union Island,Union Island International Airport,VC
SVD,VC-04,Kingstown,E. T. Joshua Airport,VC
BDA,BM-U-A,Hamilton,L.F. Wade International International Airport,BM
,KG-B,Batken,Batken Airport,KG
ALA,KZ-ALM,Almaty,Almaty Airport,KZ
TSE,KZ-AKM,Astana,Astana International Airport,KZ
KOV,KZ-AKM,Kokshetau,Kokshetau Airport,KZ
PPK,KZ-SEV,Petropavlosk,Petropavlosk South Airport,KZ
DMB,KZ-ZHA,Taraz,Taraz Airport,KZ
IKU,KG-Y,Tamchy,Issyk-Kul International Airport,KG
FRU,KG-C,Bishkek,Manas International Airport,KG
OSS,KG-O,Osh,Osh Airport,KG
CIT,KZ-YUZ,Shymkent,Shymkent Airport,KZ
