iata_code,iso_region,municipality,name,iso_country
PJM,CR-P,Puerto Jimenez,Puerto Jimenez Airport,CR
PMZ,CR-P,Palmar Sur,Palmar Sur Airport,CR
SYQ,CR-SJ,San Jose,Tobias Bolanos International Airport,CR
XQP,CR-P,Quepos,Quepos Managua Airport,CR
SAL,SV-PA,Santa Clara,El Salvador International Airport,SV
CYA,HT-SD,Les Cayes,Les Cayes Airport,HT
CAP,HT-ND,Cap Haitien,Cap Haitien International Airport,HT
JAK,HT-SE,Jacmel,Jacmel Airport,HT
JEE,HT-GA,Jeremie,Jérémie Airport,HT
PAP,HT-OU,Port-au-Prince,Toussaint Louverture International Airport,HT
PAX,HT-NO,Port-de-Paix,Port-de-Paix Airport,HT
BCA,CU-14,Baracoa,Gustavo Rizo Airport,CU
BYM,CU-12,Bayamo,Carlos Manuel de Cespedes Airport,CU
AVI,CU-08,Ciego de Avila,Maximo Gomez Airport,CU
CCC,CU-08,Cayo Coco,Jardines Del Rey Airport,CU
CFG,CU-06,Cienfuegos,Jaime Gonzalez Airport,CU
CYO,CU-99,Cayo Largo del Sur,Vilo Acuña International Airport,CU
CMW,CU-09,Camaguey,Ignacio Agramonte International Airport,CU
SCU,CU-13,Santiago,Antonio Maceo International Airport,CU
GAO,CU-14,Guantánamo,Mariana Grajales Airport,CU
HAV,CU-03,Havana,José Martí International Airport,CU
HOG,CU-11,Holguin,Frank Pais International Airport,CU
MZO,CU-12,Manzanillo,Sierra Maestra Airport,CU
GER,CU-99,Nueva Gerona,Rafael Cabrera Airport,CU
UPB,CU-02,Havana,Playa Baracoa Airport,CU
TND,CU-07,Trinidad,Alberto Delgado Airport,CU
VRA,CU-04,Varadero,Juan Gualberto Gomez International Airport,CU
VTU,CU-10,Las Tunas,Hermanos Ameijeiras Airport,CU
CYB,KY-U-A,Cayman Brac,Gerrard Smith International Airport,KY
GCM,KY-U-A,Georgetown,Owen Roberts International Airport,KY
COX,BS-KB,Andros,Congo Town Airport,BS
MHH,BS-MH,Marsh Harbour,Marsh Harbour International Airport,BS
SAQ,BS-NB,Andros Island,San Andros Airport,BS
AXP,BS-AC,Spring Point,Spring Point Airport,BS
TCB,BS-MH,Treasure Cay,Treasure Cay Airport,BS
CCZ,BS-NB,,Chub Cay Airport,BS
BIM,BS-BI,South Bimini,South Bimini Airport,BS
ATC,BS-CI,Arthur's Town,Arthur's Town Airport,BS
CAT,BS-CI,Cat Island,New Bight Airport,BS
CRI,BS-AC,Colonel Hill,Colonel Hill Airport,BS
GGT,BS-EX,George Town,Exuma International Airport,BS
ELH,BS-HI,North Eleuthera,North Eleuthera Airport,BS
GHB,BS-GH,Governor's Harbour,Governor's Harbour Airport,BS
FPO,BS-FP,Freeport,Grand Bahama International Airport,BS
IGA,BS-IN,Matthew Town,Inagua Airport,BS
LGI,BS-LI,Deadman's Cay,Deadman's Cay Airport,BS
SML,BS-LI,Stella Maris,Stella Maris Airport,BS
MYG,BS-MG,Mayaguana,Mayaguana Airport,BS
NAS,BS-NP,Nassau,Lynden Pindling International Airport,BS
ZSA,BS-SR,San Salvador,San Salvador Airport,BS
BZE,BZ-BZ,Belize City,Philip S. W. Goldson International Airport,BZ
NBS,CN-22,Baishan,Changbaishan Airport,CN
RAR,CK-U-A,Avarua,Rarotonga International Airport,CK
NAN,FJ-W,Nadi,Nadi International Airport,FJ
SUV,FJ-C,Nausori,Nausori International Airport,FJ
LBS,FJ-N,,Labasa Airport,FJ
TBU,TO-04,Nuku'alofa,Fua'amotu International Airport,TO
HPA,TO-02,Lifuka,Lifuka Island Airport,TO
VAV,TO-05,Vava'u Island,Vava'u International Airport,TO
GMO,NG-GO,Gombe,Gombe Lawanti International Airport,NG
QRW,NG-DE,Warri,Warri Airport,NG
FUN,TV-FUN,Funafuti,Funafuti International Airport,TV
TRW,KI-G,Tarawa,Bonriki International Airport,KI
IUE,NU-U-A,Alofi,Niue International Airport,NU
FUT,WF-U-A,Futuna Island,Pointe Vele Airport,WF
WLS,WF-U-A,Wallis Island,Hihifo Airport,WF
APW,WS-AA,Apia,Faleolo International Airport,WS
FTI,AS-U-A,Fitiuta Village,Fitiuta Airport,AS
PPG,AS-U-A,Pago Pago,Pago Pago International Airport,AS
PPT,PF-U-A,Papeete,Faa'a International Airport,PF
RUR,PF-U-A,,Rurutu Airport,PF
TUB,PF-U-A,,Tubuai Airport,PF
AAA,PF-U-A,,Anaa Airport,PF
TIH,PF-U-A,,Tikehau Airport,PF
FAV,PF-U-A,,Fakarava Airport,PF
XMH,PF-U-A,,Manihi Airport,PF
GMR,PF-U-A,,Totegegie Airport,PF
KKR,PF-U-A,,Kaukura Airport,PF
MKP,PF-U-A,,Makemo Airport,PF
TKP,PF-U-A,,Takapoto Airport,PF
AXR,PF-U-A,,Arutua Airport,PF
MVT,PF-U-A,,Mataiva Airport,PF
AHE,PF-U-A,Ahe Atoll,Ahe Airport,PF
TKX,PF-U-A,,Takaroa Airport,PF
NHV,PF-U-A,,Nuku Hiva Airport,PF
AUQ,PF-U-A,Hiva Oa Island,Hiva Oa-Atuona Airport,PF
BOB,PF-U-A,Motu Mute,Bora Bora Airport,PF
RGI,PF-U-A,,Rangiroa Airport,PF
HUH,PF-U-A,Fare,Huahine-Fare Airport,PF
MOZ,PF-U-A,,Moorea Airport,PF
HOI,PF-U-A,,Hao Airport,PF
MAU,PF-U-A,,Maupiti Airport,PF
RFP,PF-U-A,Uturoa,Raiatea Airport,PF
ZGU,VU-TOB,Gaua Island,Gaua Island Airport,VU
SON,VU-SAM,Luganville,Santo Pekoa International Airport,VU
VLI,VU-SEE,Port Vila,Bauerfield International Airport,VU
TAH,VU-TAE,,Tanna Airport,VU
TGJ,NC-U-A,Tiga,Tiga Airport,NC
BMY,NC-U-A,Waala,Île Art - Waala Airport,NC
KNQ,NC-U-A,Koné,Koné Airport,NC
ILP,NC-U-A,Île des Pins,Île des Pins Airport,NC
KOC,NC-U-A,Koumac,Koumac Airport,NC
LIF,NC-U-A,Lifou,Lifou Airport,NC
GEA,NC-U-A,Nouméa,Nouméa Magenta Airport,NC
MEE,NC-U-A,Maré,Maré Airport,NC
TOU,NC-U-A,Touho,Touho Airport,NC
UVE,NC-U-A,Ouvéa,Ouvéa Airport,NC
NOU,NC-U-A,Nouméa,La Tontouta International Airport,NC
AKL,NZ-AUK,Auckland,Auckland International Airport,NZ
TUO,NZ-WKO,Taupo,Taupo Airport,NZ
CHC,NZ-CAN,Christchurch,Christchurch International Airport,NZ
CHT,NZ-WGN,Waitangi,Chatham Islands-Tuuta Airport,NZ
DUD,NZ-OTA,Dunedin,Dunedin Airport,NZ
GIS,NZ-GIS,Gisborne,Gisborne Airport,NZ
HKK,NZ-WTC,,Hokitika Airfield,NZ
HLZ,NZ-WKO,Hamilton,Hamilton International Airport,NZ
